Sample,Pressure (kPa),EXP_ADS (mL/g),Temparature ©,Depth (m),Moisture (%),VM(%),Ash (%),FC (%),Vitrinite (%),Semi- vitrinite (%),Liptinite (%),Inertinite (%),Mineral matter (%),Mean Ro (%),D–A maximum adsorption (mL/g),DA_E Characteristic adsorption energy (kJ/mol),DA_n Heterogeneity parameter,R2_D–A goodness of fit,DA_P0_2×Pmax​ (kPa)
Narayankuri,5343,15.5536,30,46,7,41,15,37,73.8,0.8,6,11.4,7.9,0.64,21.50342559,4.740586558,1.606734227,0.996812895,13600
Narayankuri,5829,16.4429,30,46,7,41,15,37,73.8,0.8,6,11.4,7.9,0.64,21.50342559,4.740586558,1.606734227,0.996812895,13600
Narayankuri,6314,17.1333,30,46,7,41,15,37,73.8,0.8,6,11.4,7.9,0.64,21.50342559,4.740586558,1.606734227,0.996812895,13600
Narayankuri,6800,17.7,30,46,7,41,15,37,73.8,0.8,6,11.4,7.9,0.64,21.50342559,4.740586558,1.606734227,0.996812895,13600
Satgram,300,1.7,30,190,4,40,17,39,49.7,0.8,11.3,27.2,11,0.61,15.88579094,5.460922539,1.74214542,0.997428154,8400
Satgram,600,3.65,30,190,4,40,17,39,49.7,0.8,11.3,27.2,11,0.61,15.88579094,5.460922539,1.74214542,0.997428154,8400
Satgram,900,5.8333,30,190,4,40,17,39,49.7,0.8,11.3,27.2,11,0.61,15.88579094,5.460922539,1.74214542,0.997428154,8400
Satgram,1200,7.2667,30,190,4,40,17,39,49.7,0.8,11.3,27.2,11,0.61,15.88579094,5.460922539,1.74214542,0.997428154,8400
Satgram,1500,8.2667,30,190,4,40,17,39,49.7,0.8,11.3,27.2,11,0.61,15.88579094,5.460922539,1.74214542,0.997428154,8400
Satgram,1800,9.1,30,190,4,40,17,39,49.7,0.8,11.3,27.2,11,0.61,15.88579094,5.460922539,1.74214542,0.997428154,8400
Satgram,2100,9.85,30,190,4,40,17,39,49.7,0.8,11.3,27.2,11,0.61,15.88579094,5.460922539,1.74214542,0.997428154,8400
Satgram,2400,10.58,30,190,4,40,17,39,49.7,0.8,11.3,27.2,11,0.61,15.88579094,5.460922539,1.74214542,0.997428154,8400
Satgram,2700,11.3,30,190,4,40,17,39,49.7,0.8,11.3,27.2,11,0.61,15.88579094,5.460922539,1.74214542,0.997428154,8400
Satgram,3000,12.02,30,190,4,40,17,39,49.7,0.8,11.3,27.2,11,0.61,15.88579094,5.460922539,1.74214542,0.997428154,8400
Satgram,3300,12.65,30,190,4,40,17,39,49.7,0.8,11.3,27.2,11,0.61,15.88579094,5.460922539,1.74214542,0.997428154,8400
Satgram,3600,13.1,30,190,4,40,17,39,49.7,0.8,11.3,27.2,11,0.61,15.88579094,5.460922539,1.74214542,0.997428154,8400
Satgram,3900,13.55,30,190,4,40,17,39,49.7,0.8,11.3,27.2,11,0.61,15.88579094,5.460922539,1.74214542,0.997428154,8400
Satgram,4200,14,30,190,4,40,17,39,49.7,0.8,11.3,27.2,11,0.61,15.88579094,5.460922539,1.74214542,0.997428154,8400
Kalimati,414,3.6257,30,172,1.2,36,28,34.8,12,1.3,7.3,61.3,18.1,0.96,13.23140713,7.100685593,1.669745468,0.997963425,11600
Kalimati,829,5.4735,30,172,1.2,36,28,34.8,12,1.3,7.3,61.3,18.1,0.96,13.23140713,7.100685593,1.669745468,0.997963425,11600
Kalimati,1243,6.5388,30,172,1.2,36,28,34.8,12,1.3,7.3,61.3,18.1,0.96,13.23140713,7.100685593,1.669745468,0.997963425,11600
Kalimati,1657,7.5367,30,172,1.2,36,28,34.8,12,1.3,7.3,61.3,18.1,0.96,13.23140713,7.100685593,1.669745468,0.997963425,11600
Kalimati,2071,8.4245,30,172,1.2,36,28,34.8,12,1.3,7.3,61.3,18.1,0.96,13.23140713,7.100685593,1.669745468,0.997963425,11600
Kalimati,2486,9.2,30,172,1.2,36,28,34.8,12,1.3,7.3,61.3,18.1,0.96,13.23140713,7.100685593,1.669745468,0.997963425,11600
Kalimati,2900,9.925,30,172,1.2,36,28,34.8,12,1.3,7.3,61.3,18.1,0.96,13.23140713,7.100685593,1.669745468,0.997963425,11600
Kalimati,3314,10.375,30,172,1.2,36,28,34.8,12,1.3,7.3,61.3,18.1,0.96,13.23140713,7.100685593,1.669745468,0.997963425,11600
Kalimati,3729,10.7375,30,172,1.2,36,28,34.8,12,1.3,7.3,61.3,18.1,0.96,13.23140713,7.100685593,1.669745468,0.997963425,11600
Kalimati,4143,11.0143,30,172,1.2,36,28,34.8,12,1.3,7.3,61.3,18.1,0.96,13.23140713,7.100685593,1.669745468,0.997963425,11600
Kalimati,4557,11.2732,30,172,1.2,36,28,34.8,12,1.3,7.3,61.3,18.1,0.96,13.23140713,7.100685593,1.669745468,0.997963425,11600
Kalimati,4971,11.5476,30,172,1.2,36,28,34.8,12,1.3,7.3,61.3,18.1,0.96,13.23140713,7.100685593,1.669745468,0.997963425,11600
Kalimati,5386,11.7619,30,172,1.2,36,28,34.8,12,1.3,7.3,61.3,18.1,0.96,13.23140713,7.100685593,1.669745468,0.997963425,11600
Kalimati,5800,11.9,30,172,1.2,36,28,34.8,12,1.3,7.3,61.3,18.1,0.96,13.23140713,7.100685593,1.669745468,0.997963425,11600
Local II,336,3.0643,30,118,2.3,41.5,22,34.2,12.9,1.8,5.8,62.1,17.4,1.01,10.57639029,7.430430002,1.60685962,0.99936054,9400
Local II,671,4.6086,30,118,2.3,41.5,22,34.2,12.9,1.8,5.8,62.1,17.4,1.01,10.57639029,7.430430002,1.60685962,0.99936054,9400
Local II,1007,5.6439,30,118,2.3,41.5,22,34.2,12.9,1.8,5.8,62.1,17.4,1.01,10.57639029,7.430430002,1.60685962,0.99936054,9400
Local II,1343,6.3633,30,118,2.3,41.5,22,34.2,12.9,1.8,5.8,62.1,17.4,1.01,10.57639029,7.430430002,1.60685962,0.99936054,9400
Local II,1679,6.9455,30,118,2.3,41.5,22,34.2,12.9,1.8,5.8,62.1,17.4,1.01,10.57639029,7.430430002,1.60685962,0.99936054,9400
Local II,2014,7.4071,30,118,2.3,41.5,22,34.2,12.9,1.8,5.8,62.1,17.4,1.01,10.57639029,7.430430002,1.60685962,0.99936054,9400
Local II,2350,7.85,30,118,2.3,41.5,22,34.2,12.9,1.8,5.8,62.1,17.4,1.01,10.57639029,7.430430002,1.60685962,0.99936054,9400
Local II,2686,8.1857,30,118,2.3,41.5,22,34.2,12.9,1.8,5.8,62.1,17.4,1.01,10.57639029,7.430430002,1.60685962,0.99936054,9400
Local II,3021,8.5214,30,118,2.3,41.5,22,34.2,12.9,1.8,5.8,62.1,17.4,1.01,10.57639029,7.430430002,1.60685962,0.99936054,9400
Local II,3357,8.7607,30,118,2.3,41.5,22,34.2,12.9,1.8,5.8,62.1,17.4,1.01,10.57639029,7.430430002,1.60685962,0.99936054,9400
Local II,3693,8.9705,30,118,2.3,41.5,22,34.2,12.9,1.8,5.8,62.1,17.4,1.01,10.57639029,7.430430002,1.60685962,0.99936054,9400
Local II,4029,9.1964,30,118,2.3,41.5,22,34.2,12.9,1.8,5.8,62.1,17.4,1.01,10.57639029,7.430430002,1.60685962,0.99936054,9400
Local II,4364,9.4482,30,118,2.3,41.5,22,34.2,12.9,1.8,5.8,62.1,17.4,1.01,10.57639029,7.430430002,1.60685962,0.99936054,9400
Local II,4700,9.7,30,118,2.3,41.5,22,34.2,12.9,1.8,5.8,62.1,17.4,1.01,10.57639029,7.430430002,1.60685962,0.99936054,9400
Mehaladih,557,3.4486,30,201,1.1,35,30,33.9,16.7,2.3,8.3,64.6,8.1,0.96,20.46152858,5.450219124,1.173293234,0.997112487,15600
Mehaladih,1114,6.1143,30,201,1.1,35,30,33.9,16.7,2.3,8.3,64.6,8.1,0.96,20.46152858,5.450219124,1.173293234,0.997112487,15600
Mehaladih,1671,7.6071,30,201,1.1,35,30,33.9,16.7,2.3,8.3,64.6,8.1,0.96,20.46152858,5.450219124,1.173293234,0.997112487,15600
Mehaladih,2229,8.4429,30,201,1.1,35,30,33.9,16.7,2.3,8.3,64.6,8.1,0.96,20.46152858,5.450219124,1.173293234,0.997112487,15600
Mehaladih,2786,9.3714,30,201,1.1,35,30,33.9,16.7,2.3,8.3,64.6,8.1,0.96,20.46152858,5.450219124,1.173293234,0.997112487,15600
Mehaladih,3343,10.4619,30,201,1.1,35,30,33.9,16.7,2.3,8.3,64.6,8.1,0.96,20.46152858,5.450219124,1.173293234,0.997112487,15600
Mehaladih,3900,11.2667,30,201,1.1,35,30,33.9,16.7,2.3,8.3,64.6,8.1,0.96,20.46152858,5.450219124,1.173293234,0.997112487,15600
Mehaladih,4457,12.0086,30,201,1.1,35,30,33.9,16.7,2.3,8.3,64.6,8.1,0.96,20.46152858,5.450219124,1.173293234,0.997112487,15600
Mehaladih,5014,12.6771,30,201,1.1,35,30,33.9,16.7,2.3,8.3,64.6,8.1,0.96,20.46152858,5.450219124,1.173293234,0.997112487,15600
Mehaladih,5571,13.354,30,201,1.1,35,30,33.9,16.7,2.3,8.3,64.6,8.1,0.96,20.46152858,5.450219124,1.173293234,0.997112487,15600
Mehaladih,6129,14.0349,30,201,1.1,35,30,33.9,16.7,2.3,8.3,64.6,8.1,0.96,20.46152858,5.450219124,1.173293234,0.997112487,15600
Mehaladih,6686,14.7159,30,201,1.1,35,30,33.9,16.7,2.3,8.3,64.6,8.1,0.96,20.46152858,5.450219124,1.173293234,0.997112487,15600
Mehaladih,7243,15.3125,30,201,1.1,35,30,33.9,16.7,2.3,8.3,64.6,8.1,0.96,20.46152858,5.450219124,1.173293234,0.997112487,15600
Mehaladih,7800,15.8,30,201,1.1,35,30,33.9,16.7,2.3,8.3,64.6,8.1,0.96,20.46152858,5.450219124,1.173293234,0.997112487,15600
Mugma Special,336,1.9571,30,109,2.2,38,27,32.8,7.7,0.7,12.8,61.9,16.9,1.06,9.876014972,6.401949529,1.756890788,0.999654851,9400
Mugma Special,671,3.4343,30,109,2.2,38,27,32.8,7.7,0.7,12.8,61.9,16.9,1.06,9.876014972,6.401949529,1.756890788,0.999654851,9400
Mugma Special,1007,4.4735,30,109,2.2,38,27,32.8,7.7,0.7,12.8,61.9,16.9,1.06,9.876014972,6.401949529,1.756890788,0.999654851,9400
Mugma Special,1343,5.2408,30,109,2.2,38,27,32.8,7.7,0.7,12.8,61.9,16.9,1.06,9.876014972,6.401949529,1.756890788,0.999654851,9400
Mugma Special,1679,5.9061,30,109,2.2,38,27,32.8,7.7,0.7,12.8,61.9,16.9,1.06,9.876014972,6.401949529,1.756890788,0.999654851,9400
Mugma Special,2014,6.4816,30,109,2.2,38,27,32.8,7.7,0.7,12.8,61.9,16.9,1.06,9.876014972,6.401949529,1.756890788,0.999654851,9400
Mugma Special,2350,6.9875,30,109,2.2,38,27,32.8,7.7,0.7,12.8,61.9,16.9,1.06,9.876014972,6.401949529,1.756890788,0.999654851,9400
Mugma Special,2686,7.4071,30,109,2.2,38,27,32.8,7.7,0.7,12.8,61.9,16.9,1.06,9.876014972,6.401949529,1.756890788,0.999654851,9400
Mugma Special,3021,7.8179,30,109,2.2,38,27,32.8,7.7,0.7,12.8,61.9,16.9,1.06,9.876014972,6.401949529,1.756890788,0.999654851,9400
Mugma Special,3357,8.0976,30,109,2.2,38,27,32.8,7.7,0.7,12.8,61.9,16.9,1.06,9.876014972,6.401949529,1.756890788,0.999654851,9400
Mugma Special,3693,8.3464,30,109,2.2,38,27,32.8,7.7,0.7,12.8,61.9,16.9,1.06,9.876014972,6.401949529,1.756890788,0.999654851,9400
Mugma Special,4029,8.5143,30,109,2.2,38,27,32.8,7.7,0.7,12.8,61.9,16.9,1.06,9.876014972,6.401949529,1.756890788,0.999654851,9400
Mugma Special,4364,8.6986,30,109,2.2,38,27,32.8,7.7,0.7,12.8,61.9,16.9,1.06,9.876014972,6.401949529,1.756890788,0.999654851,9400
Mugma Special,4700,8.9,30,109,2.2,38,27,32.8,7.7,0.7,12.8,61.9,16.9,1.06,9.876014972,6.401949529,1.756890788,0.999654851,9400
SKAC 1,414,5.74,30,914,1.4,34,31,33.6,9.3,0.5,0.3,53.4,36.5,1.94,19.63634444,7.722670556,1.967445053,0.997027844,11600
SKAC 1,829,9.8,30,914,1.4,34,31,33.6,9.3,0.5,0.3,53.4,36.5,1.94,19.63634444,7.722670556,1.967445053,0.997027844,11600
SKAC 1,1243,11.6048,30,914,1.4,34,31,33.6,9.3,0.5,0.3,53.4,36.5,1.94,19.63634444,7.722670556,1.967445053,0.997027844,11600
SKAC 1,1657,12.9397,30,914,1.4,34,31,33.6,9.3,0.5,0.3,53.4,36.5,1.94,19.63634444,7.722670556,1.967445053,0.997027844,11600
SKAC 1,2071,13.9971,30,914,1.4,34,31,33.6,9.3,0.5,0.3,53.4,36.5,1.94,19.63634444,7.722670556,1.967445053,0.997027844,11600
SKAC 1,2486,14.9086,30,914,1.4,34,31,33.6,9.3,0.5,0.3,53.4,36.5,1.94,19.63634444,7.722670556,1.967445053,0.997027844,11600
SKAC 1,2900,15.8,30,914,1.4,34,31,33.6,9.3,0.5,0.3,53.4,36.5,1.94,19.63634444,7.722670556,1.967445053,0.997027844,11600
SKAC 1,3314,16.6286,30,914,1.4,34,31,33.6,9.3,0.5,0.3,53.4,36.5,1.94,19.63634444,7.722670556,1.967445053,0.997027844,11600
SKAC 1,3729,17.2857,30,914,1.4,34,31,33.6,9.3,0.5,0.3,53.4,36.5,1.94,19.63634444,7.722670556,1.967445053,0.997027844,11600
SKAC 1,4143,17.5619,30,914,1.4,34,31,33.6,9.3,0.5,0.3,53.4,36.5,1.94,19.63634444,7.722670556,1.967445053,0.997027844,11600
SKAC 1,4557,17.8381,30,914,1.4,34,31,33.6,9.3,0.5,0.3,53.4,36.5,1.94,19.63634444,7.722670556,1.967445053,0.997027844,11600
SKAC 1,4971,18.1029,30,914,1.4,34,31,33.6,9.3,0.5,0.3,53.4,36.5,1.94,19.63634444,7.722670556,1.967445053,0.997027844,11600
SKAC 1,5386,18.3514,30,914,1.4,34,31,33.6,9.3,0.5,0.3,53.4,36.5,1.94,19.63634444,7.722670556,1.967445053,0.997027844,11600
SKAC 1,5800,18.6,30,914,1.4,34,31,33.6,9.3,0.5,0.3,53.4,36.5,1.94,19.63634444,7.722670556,1.967445053,0.997027844,11600
SKAC 3,371,5.6643,30,996,1.8,32,48,18.2,0.2,0,0,18.6,81.2,1.3,18.83581414,7.788083059,2.012490336,0.998309723,10400
SKAC 3,743,9.3229,30,996,1.8,32,48,18.2,0.2,0,0,18.6,81.2,1.3,18.83581414,7.788083059,2.012490336,0.998309723,10400
SKAC 3,1114,11.4667,30,996,1.8,32,48,18.2,0.2,0,0,18.6,81.2,1.3,18.83581414,7.788083059,2.012490336,0.998309723,10400
SKAC 3,1486,12.6222,30,996,1.8,32,48,18.2,0.2,0,0,18.6,81.2,1.3,18.83581414,7.788083059,2.012490336,0.998309723,10400
SKAC 3,1857,13.7214,30,996,1.8,32,48,18.2,0.2,0,0,18.6,81.2,1.3,18.83581414,7.788083059,2.012490336,0.998309723,10400
SKAC 3,2229,14.5107,30,996,1.8,32,48,18.2,0.2,0,0,18.6,81.2,1.3,18.83581414,7.788083059,2.012490336,0.998309723,10400
SKAC 3,2600,15.3,30,996,1.8,32,48,18.2,0.2,0,0,18.6,81.2,1.3,18.83581414,7.788083059,2.012490336,0.998309723,10400
SKAC 3,2971,15.95,30,996,1.8,32,48,18.2,0.2,0,0,18.6,81.2,1.3,18.83581414,7.788083059,2.012490336,0.998309723,10400
SKAC 3,3343,16.6,30,996,1.8,32,48,18.2,0.2,0,0,18.6,81.2,1.3,18.83581414,7.788083059,2.012490336,0.998309723,10400
SKAC 3,3714,16.975,30,996,1.8,32,48,18.2,0.2,0,0,18.6,81.2,1.3,18.83581414,7.788083059,2.012490336,0.998309723,10400
SKAC 3,4086,17.3,30,996,1.8,32,48,18.2,0.2,0,0,18.6,81.2,1.3,18.83581414,7.788083059,2.012490336,0.998309723,10400
SKAC 3,4457,17.5286,30,996,1.8,32,48,18.2,0.2,0,0,18.6,81.2,1.3,18.83581414,7.788083059,2.012490336,0.998309723,10400
SKAC 3,4829,17.7143,30,996,1.8,32,48,18.2,0.2,0,0,18.6,81.2,1.3,18.83581414,7.788083059,2.012490336,0.998309723,10400
SKAC 3,5200,17.9,30,996,1.8,32,48,18.2,0.2,0,0,18.6,81.2,1.3,18.83581414,7.788083059,2.012490336,0.998309723,10400
15th,493,3.0557,30,520,1.2,45,20,33.8,86.1,0.2,0.2,5.5,8,1.29,18.6105359,6.766954846,2.470192163,0.995781313,13800
15th,986,7.0829,30,520,1.2,45,20,33.8,86.1,0.2,0.2,5.5,8,1.29,18.6105359,6.766954846,2.470192163,0.995781313,13800
15th,1479,10.3586,30,520,1.2,45,20,33.8,86.1,0.2,0.2,5.5,8,1.29,18.6105359,6.766954846,2.470192163,0.995781313,13800
15th,1971,12.049,30,520,1.2,45,20,33.8,86.1,0.2,0.2,5.5,8,1.29,18.6105359,6.766954846,2.470192163,0.995781313,13800
15th,2464,13.3616,30,520,1.2,45,20,33.8,86.1,0.2,0.2,5.5,8,1.29,18.6105359,6.766954846,2.470192163,0.995781313,13800
15th,2957,14.4089,30,520,1.2,45,20,33.8,86.1,0.2,0.2,5.5,8,1.29,18.6105359,6.766954846,2.470192163,0.995781313,13800
15th,3450,15.1,30,520,1.2,45,20,33.8,86.1,0.2,0.2,5.5,8,1.29,18.6105359,6.766954846,2.470192163,0.995781313,13800
15th,3943,15.7571,30,520,1.2,45,20,33.8,86.1,0.2,0.2,5.5,8,1.29,18.6105359,6.766954846,2.470192163,0.995781313,13800
15th,4436,16.265,30,520,1.2,45,20,33.8,86.1,0.2,0.2,5.5,8,1.29,18.6105359,6.766954846,2.470192163,0.995781313,13800
15th,4929,16.61,30,520,1.2,45,20,33.8,86.1,0.2,0.2,5.5,8,1.29,18.6105359,6.766954846,2.470192163,0.995781313,13800
15th,5421,17.0436,30,520,1.2,45,20,33.8,86.1,0.2,0.2,5.5,8,1.29,18.6105359,6.766954846,2.470192163,0.995781313,13800
15th,5914,17.5857,30,520,1.2,45,20,33.8,86.1,0.2,0.2,5.5,8,1.29,18.6105359,6.766954846,2.470192163,0.995781313,13800
15th,6407,18.0776,30,520,1.2,45,20,33.8,86.1,0.2,0.2,5.5,8,1.29,18.6105359,6.766954846,2.470192163,0.995781313,13800
15th,6900,18.5,30,520,1.2,45,20,33.8,86.1,0.2,0.2,5.5,8,1.29,18.6105359,6.766954846,2.470192163,0.995781313,13800
16th Top,436,3.9643,30,650,1.6,36.5,24,37.9,62,1.4,0.3,29.5,6.8,1.22,21.31074066,6.783466122,2.09901833,0.996997817,12200
16th Top,871,8.4086,30,650,1.6,36.5,24,37.9,62,1.4,0.3,29.5,6.8,1.22,21.31074066,6.783466122,2.09901833,0.996997817,12200
16th Top,1307,11.2786,30,650,1.6,36.5,24,37.9,62,1.4,0.3,29.5,6.8,1.22,21.31074066,6.783466122,2.09901833,0.996997817,12200
16th Top,1743,13.1403,30,650,1.6,36.5,24,37.9,62,1.4,0.3,29.5,6.8,1.22,21.31074066,6.783466122,2.09901833,0.996997817,12200
16th Top,2179,14.289,30,650,1.6,36.5,24,37.9,62,1.4,0.3,29.5,6.8,1.22,21.31074066,6.783466122,2.09901833,0.996997817,12200
16th Top,2614,15.4286,30,650,1.6,36.5,24,37.9,62,1.4,0.3,29.5,6.8,1.22,21.31074066,6.783466122,2.09901833,0.996997817,12200
16th Top,3050,16.3,30,650,1.6,36.5,24,37.9,62,1.4,0.3,29.5,6.8,1.22,21.31074066,6.783466122,2.09901833,0.996997817,12200
16th Top,3486,17.1714,30,650,1.6,36.5,24,37.9,62,1.4,0.3,29.5,6.8,1.22,21.31074066,6.783466122,2.09901833,0.996997817,12200
16th Top,3921,17.9375,30,650,1.6,36.5,24,37.9,62,1.4,0.3,29.5,6.8,1.22,21.31074066,6.783466122,2.09901833,0.996997817,12200
16th Top,4357,18.6635,30,650,1.6,36.5,24,37.9,62,1.4,0.3,29.5,6.8,1.22,21.31074066,6.783466122,2.09901833,0.996997817,12200
16th Top,4793,19.1476,30,650,1.6,36.5,24,37.9,62,1.4,0.3,29.5,6.8,1.22,21.31074066,6.783466122,2.09901833,0.996997817,12200
16th Top,5229,19.6222,30,650,1.6,36.5,24,37.9,62,1.4,0.3,29.5,6.8,1.22,21.31074066,6.783466122,2.09901833,0.996997817,12200
16th Top,5664,19.9611,30,650,1.6,36.5,24,37.9,62,1.4,0.3,29.5,6.8,1.22,21.31074066,6.783466122,2.09901833,0.996997817,12200
16th Top,6100,20.3,30,650,1.6,36.5,24,37.9,62,1.4,0.3,29.5,6.8,1.22,21.31074066,6.783466122,2.09901833,0.996997817,12200
16th Bottom,500,4.56,30,450,6,35,34,25,58.4,2.3,0.3,33.7,5.3,1.11,24.29601697,6.160838152,1.474540571,0.997927429,14000
16th Bottom,1000,8.1,30,450,6,35,34,25,58.4,2.3,0.3,33.7,5.3,1.11,24.29601697,6.160838152,1.474540571,0.997927429,14000
16th Bottom,1500,10.6,30,450,6,35,34,25,58.4,2.3,0.3,33.7,5.3,1.11,24.29601697,6.160838152,1.474540571,0.997927429,14000
16th Bottom,2000,12.0444,30,450,6,35,34,25,58.4,2.3,0.3,33.7,5.3,1.11,24.29601697,6.160838152,1.474540571,0.997927429,14000
16th Bottom,2500,13.4125,30,450,6,35,34,25,58.4,2.3,0.3,33.7,5.3,1.11,24.29601697,6.160838152,1.474540571,0.997927429,14000
16th Bottom,3000,14.475,30,450,6,35,34,25,58.4,2.3,0.3,33.7,5.3,1.11,24.29601697,6.160838152,1.474540571,0.997927429,14000
16th Bottom,3500,15.5375,30,450,6,35,34,25,58.4,2.3,0.3,33.7,5.3,1.11,24.29601697,6.160838152,1.474540571,0.997927429,14000
16th Bottom,4000,16.6,30,450,6,35,34,25,58.4,2.3,0.3,33.7,5.3,1.11,24.29601697,6.160838152,1.474540571,0.997927429,14000
16th Bottom,4500,17.475,30,450,6,35,34,25,58.4,2.3,0.3,33.7,5.3,1.11,24.29601697,6.160838152,1.474540571,0.997927429,14000
16th Bottom,5000,18.3,30,450,6,35,34,25,58.4,2.3,0.3,33.7,5.3,1.11,24.29601697,6.160838152,1.474540571,0.997927429,14000
16th Bottom,5500,19.05,30,450,6,35,34,25,58.4,2.3,0.3,33.7,5.3,1.11,24.29601697,6.160838152,1.474540571,0.997927429,14000
16th Bottom,6000,19.7,30,450,6,35,34,25,58.4,2.3,0.3,33.7,5.3,1.11,24.29601697,6.160838152,1.474540571,0.997927429,14000
16th Bottom,6500,20.3333,30,450,6,35,34,25,58.4,2.3,0.3,33.7,5.3,1.11,24.29601697,6.160838152,1.474540571,0.997927429,14000
16th Bottom,7000,21,30,450,6,35,34,25,58.4,2.3,0.3,33.7,5.3,1.11,24.29601697,6.160838152,1.474540571,0.997927429,14000
18th,443,3.4771,30,380,0.5,38,22,39.5,84.2,0.5,1,9.8,4.5,0.97,18.27121174,6.838177493,2.075744984,0.995824178,12400
18th,886,7.3743,30,380,0.5,38,22,39.5,84.2,0.5,1,9.8,4.5,0.97,18.27121174,6.838177493,2.075744984,0.995824178,12400
18th,1329,9.8571,30,380,0.5,38,22,39.5,84.2,0.5,1,9.8,4.5,0.97,18.27121174,6.838177493,2.075744984,0.995824178,12400
18th,1771,11.3182,30,380,0.5,38,22,39.5,84.2,0.5,1,9.8,4.5,0.97,18.27121174,6.838177493,2.075744984,0.995824178,12400
18th,2214,12.1636,30,380,0.5,38,22,39.5,84.2,0.5,1,9.8,4.5,0.97,18.27121174,6.838177493,2.075744984,0.995824178,12400
18th,2657,13.027,30,380,0.5,38,22,39.5,84.2,0.5,1,9.8,4.5,0.97,18.27121174,6.838177493,2.075744984,0.995824178,12400
18th,3100,14.0111,30,380,0.5,38,22,39.5,84.2,0.5,1,9.8,4.5,0.97,18.27121174,6.838177493,2.075744984,0.995824178,12400
18th,3543,14.9482,30,380,0.5,38,22,39.5,84.2,0.5,1,9.8,4.5,0.97,18.27121174,6.838177493,2.075744984,0.995824178,12400
18th,3986,15.4464,30,380,0.5,38,22,39.5,84.2,0.5,1,9.8,4.5,0.97,18.27121174,6.838177493,2.075744984,0.995824178,12400
18th,4429,15.9286,30,380,0.5,38,22,39.5,84.2,0.5,1,9.8,4.5,0.97,18.27121174,6.838177493,2.075744984,0.995824178,12400
18th,4871,16.3714,30,380,0.5,38,22,39.5,84.2,0.5,1,9.8,4.5,0.97,18.27121174,6.838177493,2.075744984,0.995824178,12400
18th,5314,16.78,30,380,0.5,38,22,39.5,84.2,0.5,1,9.8,4.5,0.97,18.27121174,6.838177493,2.075744984,0.995824178,12400
18th,5757,17.09,30,380,0.5,38,22,39.5,84.2,0.5,1,9.8,4.5,0.97,18.27121174,6.838177493,2.075744984,0.995824178,12400
18th,6200,17.4,30,380,0.5,38,22,39.5,84.2,0.5,1,9.8,4.5,0.97,18.27121174,6.838177493,2.075744984,0.995824178,12400
J/01,800,3.4,41.7,390,0.78,18.85,30.41,49.96,40.33,1.11,52.2,1.36,5,1,5.542757789,10.75902985,2.540779056,0.966955194,17000
,2000,4.8,41.7,390,0.78,18.85,30.41,49.96,40.33,1.11,52.2,1.36,5,1,5.542757789,10.75902985,2.540779056,0.966955194,17000
,3500,5,41.7,390,0.78,18.85,30.41,49.96,40.33,1.11,52.2,1.36,5,1,5.542757789,10.75902985,2.540779056,0.966955194,17000
,4500,5.1,41.7,390,0.78,18.85,30.41,49.96,40.33,1.11,52.2,1.36,5,1,5.542757789,10.75902985,2.540779056,0.966955194,17000
,5500,5.2,41.7,390,0.78,18.85,30.41,49.96,40.33,1.11,52.2,1.36,5,1,5.542757789,10.75902985,2.540779056,0.966955194,17000
,6500,5.35,41.7,390,0.78,18.85,30.41,49.96,40.33,1.11,52.2,1.36,5,1,5.542757789,10.75902985,2.540779056,0.966955194,17000
,7500,5.5,41.7,390,0.78,18.85,30.41,49.96,40.33,1.11,52.2,1.36,5,1,5.542757789,10.75902985,2.540779056,0.966955194,17000
,8000,5.55,41.7,390,0.78,18.85,30.41,49.96,40.33,1.11,52.2,1.36,5,1,5.542757789,10.75902985,2.540779056,0.966955194,17000
,8500,5.6,41.7,390,0.78,18.85,30.41,49.96,40.33,1.11,52.2,1.36,5,1,5.542757789,10.75902985,2.540779056,0.966955194,17000
J/02,500,4.3,47.2,473,1.15,14.08,30.21,54.56,51.28,1.27,37.6,3.85,6,0.8,10.91803913,9.428418619,1.91284365,0.996025965,16000
,1000,5.6,47.2,473,1.15,14.08,30.21,54.56,51.28,1.27,37.6,3.85,6,0.8,10.91803913,9.428418619,1.91284365,0.996025965,16000
,1500,6.8,47.2,473,1.15,14.08,30.21,54.56,51.28,1.27,37.6,3.85,6,0.8,10.91803913,9.428418619,1.91284365,0.996025965,16000
,2000,7.8,47.2,473,1.15,14.08,30.21,54.56,51.28,1.27,37.6,3.85,6,0.8,10.91803913,9.428418619,1.91284365,0.996025965,16000
,3000,8.7,47.2,473,1.15,14.08,30.21,54.56,51.28,1.27,37.6,3.85,6,0.8,10.91803913,9.428418619,1.91284365,0.996025965,16000
,4000,9.2,47.2,473,1.15,14.08,30.21,54.56,51.28,1.27,37.6,3.85,6,0.8,10.91803913,9.428418619,1.91284365,0.996025965,16000
,5000,9.7,47.2,473,1.15,14.08,30.21,54.56,51.28,1.27,37.6,3.85,6,0.8,10.91803913,9.428418619,1.91284365,0.996025965,16000
,6000,9.9,47.2,473,1.15,14.08,30.21,54.56,51.28,1.27,37.6,3.85,6,0.8,10.91803913,9.428418619,1.91284365,0.996025965,16000
,8000,10.5,47.2,473,1.15,14.08,30.21,54.56,51.28,1.27,37.6,3.85,6,0.8,10.91803913,9.428418619,1.91284365,0.996025965,16000
