Sample,Pressure (kPa),EXP_ADS (mL/g),Temparature ©,Depth (m),Moisture (%),VM(%),Ash (%),FC (%),Vitrinite (%),Semi- vitrinite (%),Liptinite (%),Inertinite (%),Mineral matter (%),Mean Ro (%),D–A maximum adsorption (mL/g),DA_E Characteristic adsorption energy (kJ/mol),DA_n Heterogeneity parameter,R2_D–A goodness of fit,DA_P0_2×Pmax​ (kPa)
,9000,4.98,40,507,3.2,45.6,14.4,36.8,47.1,1.8,0.4,44.5,6.2,1.11,21.31074066,6.783466122,2.09901833,0.996997817,12200
,10000,5.15,40,507,3.2,45.6,14.4,36.8,47.1,1.8,0.4,44.5,6.2,1.11,21.31074066,6.783466122,2.09901833,0.996997817,12200
,12000,5.4,40,507,3.2,45.6,14.4,36.8,47.1,1.8,0.4,44.5,6.2,1.11,21.31074066,6.783466122,2.09901833,0.996997817,12200
R-6,500,1.05,40,180,1.1,35,16.2,47.7,45.5,0,9.8,23.7,21,0.57,6.589669282,6.463474619,1.340557103,0.999282337,24000
,1000,1.62,40,180,1.1,35,16.2,47.7,45.5,0,9.8,23.7,21,0.57,6.589669282,6.463474619,1.340557103,0.999282337,24000
,1500,2.15,40,180,1.1,35,16.2,47.7,45.5,0,9.8,23.7,21,0.57,6.589669282,6.463474619,1.340557103,0.999282337,24000
,2000,2.38,40,180,1.1,35,16.2,47.7,45.5,0,9.8,23.7,21,0.57,6.589669282,6.463474619,1.340557103,0.999282337,24000
,3000,3.02,40,180,1.1,35,16.2,47.7,45.5,0,9.8,23.7,21,0.57,6.589669282,6.463474619,1.340557103,0.999282337,24000
,4000,3.45,40,180,1.1,35,16.2,47.7,45.5,0,9.8,23.7,21,0.57,6.589669282,6.463474619,1.340557103,0.999282337,24000
,5000,3.82,40,180,1.1,35,16.2,47.7,45.5,0,9.8,23.7,21,0.57,6.589669282,6.463474619,1.340557103,0.999282337,24000
,6000,4.15,40,180,1.1,35,16.2,47.7,45.5,0,9.8,23.7,21,0.57,6.589669282,6.463474619,1.340557103,0.999282337,24000
,7000,4.42,40,180,1.1,35,16.2,47.7,45.5,0,9.8,23.7,21,0.57,6.589669282,6.463474619,1.340557103,0.999282337,24000
,8000,4.7,40,180,1.1,35,16.2,47.7,45.5,0,9.8,23.7,21,0.57,6.589669282,6.463474619,1.340557103,0.999282337,24000
,9000,4.98,40,180,1.1,35,16.2,47.7,45.5,0,9.8,23.7,21,0.57,6.589669282,6.463474619,1.340557103,0.999282337,24000
