Sample,Pressure (kPa),EXP_ADS (mL/g),Langmuir_ADS (mL/g),Temparature ©,Depth (m),Moisture (%),VM(%),Ash (%),FC (%),Vitrinite (%),Semi- vitrinite (%),Liptinite (%),Inertinite (%),Mineral matter (%),Mean Ro (%),Max. EXP Pressure (kPa),Lan. Vol. Con. VL (mL/g),Lan. Pres. Con. PL (kPa),Correlation coefficient (R^2)
Kalimati,5800,11.9000,11.8000,30,172,1.2,36,28,34.8,12,1.3,7.3,61.3,18.1,0.96,5838,16,1894,0.999
Local II,336,3.0643,2.9643,30,118,2.3,41.5,22,34.2,12.9,1.8,5.8,62.1,17.4,1.01,4602,12,1316,0.999
Local II,671,4.6086,4.5086,30,118,2.3,41.5,22,34.2,12.9,1.8,5.8,62.1,17.4,1.01,4602,12,1316,0.999
Local II,1007,5.6439,5.5439,30,118,2.3,41.5,22,34.2,12.9,1.8,5.8,62.1,17.4,1.01,4602,12,1316,0.999
Local II,1343,6.3633,6.2633,30,118,2.3,41.5,22,34.2,12.9,1.8,5.8,62.1,17.4,1.01,4602,12,1316,0.999
Local II,1679,6.9455,6.8455,30,118,2.3,41.5,22,34.2,12.9,1.8,5.8,62.1,17.4,1.01,4602,12,1316,0.999
Local II,2014,7.4071,7.3071,30,118,2.3,41.5,22,34.2,12.9,1.8,5.8,62.1,17.4,1.01,4602,12,1316,0.999
Local II,2350,7.8500,7.7500,30,118,2.3,41.5,22,34.2,12.9,1.8,5.8,62.1,17.4,1.01,4602,12,1316,0.999
Local II,2686,8.1857,8.0857,30,118,2.3,41.5,22,34.2,12.9,1.8,5.8,62.1,17.4,1.01,4602,12,1316,0.999
Local II,3021,8.5214,8.4214,30,118,2.3,41.5,22,34.2,12.9,1.8,5.8,62.1,17.4,1.01,4602,12,1316,0.999
Local II,3357,8.7607,8.6607,30,118,2.3,41.5,22,34.2,12.9,1.8,5.8,62.1,17.4,1.01,4602,12,1316,0.999
Local II,3693,8.9705,8.8705,30,118,2.3,41.5,22,34.2,12.9,1.8,5.8,62.1,17.4,1.01,4602,12,1316,0.999
Local II,4029,9.1964,9.0964,30,118,2.3,41.5,22,34.2,12.9,1.8,5.8,62.1,17.4,1.01,4602,12,1316,0.999
Local II,4364,9.4482,9.3482,30,118,2.3,41.5,22,34.2,12.9,1.8,5.8,62.1,17.4,1.01,4602,12,1316,0.999
Local II,4700,9.7000,9.6000,30,118,2.3,41.5,22,34.2,12.9,1.8,5.8,62.1,17.4,1.01,4602,12,1316,0.999
Mehaladih,557,3.4486,3.2171,30,201,1.1,35,30,33.9,16.7,2.3,8.3,64.6,8.1,0.96,7782,23,3607,0.995
Mehaladih,1114,6.1143,5.8143,30,201,1.1,35,30,33.9,16.7,2.3,8.3,64.6,8.1,0.96,7782,23,3607,0.995
Mehaladih,1671,7.6071,7.3298,30,201,1.1,35,30,33.9,16.7,2.3,8.3,64.6,8.1,0.96,7782,23,3607,0.995
Mehaladih,2229,8.4429,8.2119,30,201,1.1,35,30,33.9,16.7,2.3,8.3,64.6,8.1,0.96,7782,23,3607,0.995
Mehaladih,2786,9.3714,9.1714,30,201,1.1,35,30,33.9,16.7,2.3,8.3,64.6,8.1,0.96,7782,23,3607,0.995
Mehaladih,3343,10.4619,10.2667,30,201,1.1,35,30,33.9,16.7,2.3,8.3,64.6,8.1,0.96,7782,23,3607,0.995
Mehaladih,3900,11.2667,11.1333,30,201,1.1,35,30,33.9,16.7,2.3,8.3,64.6,8.1,0.96,7782,23,3607,0.995
Mehaladih,4457,12.0086,11.9086,30,201,1.1,35,30,33.9,16.7,2.3,8.3,64.6,8.1,0.96,7782,23,3607,0.995
Mehaladih,5014,12.6771,12.5771,30,201,1.1,35,30,33.9,16.7,2.3,8.3,64.6,8.1,0.96,7782,23,3607,0.995
Mehaladih,5571,13.3540,13.2540,30,201,1.1,35,30,33.9,16.7,2.3,8.3,64.6,8.1,0.96,7782,23,3607,0.995
Mehaladih,6129,14.0349,13.9349,30,201,1.1,35,30,33.9,16.7,2.3,8.3,64.6,8.1,0.96,7782,23,3607,0.995
Mehaladih,6686,14.7159,14.6159,30,201,1.1,35,30,33.9,16.7,2.3,8.3,64.6,8.1,0.96,7782,23,3607,0.995
Mehaladih,7243,15.3125,15.1821,30,201,1.1,35,30,33.9,16.7,2.3,8.3,64.6,8.1,0.96,7782,23,3607,0.995
Mehaladih,7800,15.8000,15.6000,30,201,1.1,35,30,33.9,16.7,2.3,8.3,64.6,8.1,0.96,7782,23,3607,0.995
Mugma Special,336,1.9571,2.1357,30,109,2.2,38,27,32.8,7.7,0.7,12.8,61.9,16.9,1.06,4625,13,1852,0.998
Mugma Special,671,3.4343,3.4114,30,109,2.2,38,27,32.8,7.7,0.7,12.8,61.9,16.9,1.06,4625,13,1852,0.998
Mugma Special,1007,4.4735,4.3439,30,109,2.2,38,27,32.8,7.7,0.7,12.8,61.9,16.9,1.06,4625,13,1852,0.998
Mugma Special,1343,5.2408,5.0633,30,109,2.2,38,27,32.8,7.7,0.7,12.8,61.9,16.9,1.06,4625,13,1852,0.998
Mugma Special,1679,5.9061,5.7061,30,109,2.2,38,27,32.8,7.7,0.7,12.8,61.9,16.9,1.06,4625,13,1852,0.998
Mugma Special,2014,6.4816,6.2816,30,109,2.2,38,27,32.8,7.7,0.7,12.8,61.9,16.9,1.06,4625,13,1852,0.998
Mugma Special,2350,6.9875,6.7875,30,109,2.2,38,27,32.8,7.7,0.7,12.8,61.9,16.9,1.06,4625,13,1852,0.998
Mugma Special,2686,7.4071,7.2071,30,109,2.2,38,27,32.8,7.7,0.7,12.8,61.9,16.9,1.06,4625,13,1852,0.998
Mugma Special,3021,7.8179,7.6214,30,109,2.2,38,27,32.8,7.7,0.7,12.8,61.9,16.9,1.06,4625,13,1852,0.998
Mugma Special,3357,8.0976,7.9571,30,109,2.2,38,27,32.8,7.7,0.7,12.8,61.9,16.9,1.06,4625,13,1852,0.998
Mugma Special,3693,8.3464,8.2464,30,109,2.2,38,27,32.8,7.7,0.7,12.8,61.9,16.9,1.06,4625,13,1852,0.998
Mugma Special,4029,8.5143,8.4143,30,109,2.2,38,27,32.8,7.7,0.7,12.8,61.9,16.9,1.06,4625,13,1852,0.998
Mugma Special,4364,8.6986,8.5986,30,109,2.2,38,27,32.8,7.7,0.7,12.8,61.9,16.9,1.06,4625,13,1852,0.998
Mugma Special,4700,8.9000,8.8000,30,109,2.2,38,27,32.8,7.7,0.7,12.8,61.9,16.9,1.06,4625,13,1852,0.998
SKAC 1,414,5.7400,5.5371,30,914,1.4,34,31,33.6,9.3,0.5,0.3,53.4,36.5,1.94,5705,22,1103,0.999
SKAC 1,829,9.8000,9.5143,30,914,1.4,34,31,33.6,9.3,0.5,0.3,53.4,36.5,1.94,5705,22,1103,0.999
SKAC 1,1243,11.6048,11.3429,30,914,1.4,34,31,33.6,9.3,0.5,0.3,53.4,36.5,1.94,5705,22,1103,0.999
SKAC 1,1657,12.9397,12.7238,30,914,1.4,34,31,33.6,9.3,0.5,0.3,53.4,36.5,1.94,5705,22,1103,0.999
SKAC 1,2071,13.9971,13.7971,30,914,1.4,34,31,33.6,9.3,0.5,0.3,53.4,36.5,1.94,5705,22,1103,0.999
SKAC 1,2486,14.9086,14.7086,30,914,1.4,34,31,33.6,9.3,0.5,0.3,53.4,36.5,1.94,5705,22,1103,0.999
SKAC 1,2900,15.8000,15.6000,30,914,1.4,34,31,33.6,9.3,0.5,0.3,53.4,36.5,1.94,5705,22,1103,0.999
SKAC 1,3314,16.6286,16.4286,30,914,1.4,34,31,33.6,9.3,0.5,0.3,53.4,36.5,1.94,5705,22,1103,0.999
SKAC 1,3729,17.2857,17.0964,30,914,1.4,34,31,33.6,9.3,0.5,0.3,53.4,36.5,1.94,5705,22,1103,0.999
SKAC 1,4143,17.5619,17.4071,30,914,1.4,34,31,33.6,9.3,0.5,0.3,53.4,36.5,1.94,5705,22,1103,0.999
SKAC 1,4557,17.8381,17.7179,30,914,1.4,34,31,33.6,9.3,0.5,0.3,53.4,36.5,1.94,5705,22,1103,0.999
SKAC 1,4971,18.1029,18.0029,30,914,1.4,34,31,33.6,9.3,0.5,0.3,53.4,36.5,1.94,5705,22,1103,0.999
SKAC 1,5386,18.3514,18.2514,30,914,1.4,34,31,33.6,9.3,0.5,0.3,53.4,36.5,1.94,5705,22,1103,0.999
SKAC 1,5800,18.6000,18.5000,30,914,1.4,34,31,33.6,9.3,0.5,0.3,53.4,36.5,1.94,5705,22,1103,0.999
SKAC 3,371,5.6643,5.4786,30,996,1.8,32,48,18.2,0.2,0,0,18.6,81.2,1.3,5204,22,1058,1
SKAC 3,743,9.3229,9.1229,30,996,1.8,32,48,18.2,0.2,0,0,18.6,81.2,1.3,5204,22,1058,1
SKAC 3,1114,11.4667,11.2667,30,996,1.8,32,48,18.2,0.2,0,0,18.6,81.2,1.3,5204,22,1058,1
SKAC 3,1486,12.6222,12.4222,30,996,1.8,32,48,18.2,0.2,0,0,18.6,81.2,1.3,5204,22,1058,1
SKAC 3,1857,13.7214,13.5214,30,996,1.8,32,48,18.2,0.2,0,0,18.6,81.2,1.3,5204,22,1058,1
SKAC 3,2229,14.5107,14.3107,30,996,1.8,32,48,18.2,0.2,0,0,18.6,81.2,1.3,5204,22,1058,1
SKAC 3,2600,15.3000,15.1000,30,996,1.8,32,48,18.2,0.2,0,0,18.6,81.2,1.3,5204,22,1058,1
SKAC 3,2971,15.9500,15.7500,30,996,1.8,32,48,18.2,0.2,0,0,18.6,81.2,1.3,5204,22,1058,1
SKAC 3,3343,16.6000,16.4000,30,996,1.8,32,48,18.2,0.2,0,0,18.6,81.2,1.3,5204,22,1058,1
SKAC 3,3714,16.9750,16.7750,30,996,1.8,32,48,18.2,0.2,0,0,18.6,81.2,1.3,5204,22,1058,1
SKAC 3,4086,17.3000,17.1000,30,996,1.8,32,48,18.2,0.2,0,0,18.6,81.2,1.3,5204,22,1058,1
SKAC 3,4457,17.5286,17.3543,30,996,1.8,32,48,18.2,0.2,0,0,18.6,81.2,1.3,5204,22,1058,1
SKAC 3,4829,17.7143,17.5771,30,996,1.8,32,48,18.2,0.2,0,0,18.6,81.2,1.3,5204,22,1058,1
SKAC 3,5200,17.9000,17.8000,30,996,1.8,32,48,18.2,0.2,0,0,18.6,81.2,1.3,5204,22,1058,1
15th,493,3.0557,3.3514,30,520,1.2,45,20,33.8,86.1,0.2,0.2,5.5,8,1.29,6856,24,2026,0.999
15th,986,7.0829,6.8000,30,520,1.2,45,20,33.8,86.1,0.2,0.2,5.5,8,1.29,6856,24,2026,0.999
15th,1479,10.3586,10.0586,30,520,1.2,45,20,33.8,86.1,0.2,0.2,5.5,8,1.29,6856,24,2026,0.999
15th,1971,12.0490,11.7490,30,520,1.2,45,20,33.8,86.1,0.2,0.2,5.5,8,1.29,6856,24,2026,0.999
15th,2464,13.3616,13.0946,30,520,1.2,45,20,33.8,86.1,0.2,0.2,5.5,8,1.29,6856,24,2026,0.999
15th,2957,14.4089,14.2036,30,520,1.2,45,20,33.8,86.1,0.2,0.2,5.5,8,1.29,6856,24,2026,0.999
15th,3450,15.1000,14.9000,30,520,1.2,45,20,33.8,86.1,0.2,0.2,5.5,8,1.29,6856,24,2026,0.999
15th,3943,15.7571,15.5571,30,520,1.2,45,20,33.8,86.1,0.2,0.2,5.5,8,1.29,6856,24,2026,0.999
15th,4436,16.2650,16.0650,30,520,1.2,45,20,33.8,86.1,0.2,0.2,5.5,8,1.29,6856,24,2026,0.999
15th,4929,16.6100,16.4100,30,520,1.2,45,20,33.8,86.1,0.2,0.2,5.5,8,1.29,6856,24,2026,0.999
15th,5421,17.0436,16.8436,30,520,1.2,45,20,33.8,86.1,0.2,0.2,5.5,8,1.29,6856,24,2026,0.999
15th,5914,17.5857,17.3857,30,520,1.2,45,20,33.8,86.1,0.2,0.2,5.5,8,1.29,6856,24,2026,0.999
15th,6407,18.0776,17.8776,30,520,1.2,45,20,33.8,86.1,0.2,0.2,5.5,8,1.29,6856,24,2026,0.999
15th,6900,18.5000,18.3000,30,520,1.2,45,20,33.8,86.1,0.2,0.2,5.5,8,1.29,6856,24,2026,0.999
16th Top,436,3.9643,4.2214,30,650,1.6,36.5,24,37.9,62,1.4,0.3,29.5,6.8,1.22,6249,27,1823,0.999
16th Top,871,8.4086,8.1429,30,650,1.6,36.5,24,37.9,62,1.4,0.3,29.5,6.8,1.22,6249,27,1823,0.999
16th Top,1307,11.2786,10.9786,30,650,1.6,36.5,24,37.9,62,1.4,0.3,29.5,6.8,1.22,6249,27,1823,0.999
16th Top,1743,13.1403,12.8403,30,650,1.6,36.5,24,37.9,62,1.4,0.3,29.5,6.8,1.22,6249,27,1823,0.999
16th Top,2179,14.2890,13.9890,30,650,1.6,36.5,24,37.9,62,1.4,0.3,29.5,6.8,1.22,6249,27,1823,0.999
16th Top,2614,15.4286,15.1302,30,650,1.6,36.5,24,37.9,62,1.4,0.3,29.5,6.8,1.22,6249,27,1823,0.999
16th Top,3050,16.3000,16.0500,30,650,1.6,36.5,24,37.9,62,1.4,0.3,29.5,6.8,1.22,6249,27,1823,0.999
16th Top,3486,17.1714,16.9698,30,650,1.6,36.5,24,37.9,62,1.4,0.3,29.5,6.8,1.22,6249,27,1823,0.999
16th Top,3921,17.9375,17.7375,30,650,1.6,36.5,24,37.9,62,1.4,0.3,29.5,6.8,1.22,6249,27,1823,0.999
16th Top,4357,18.6635,18.4635,30,650,1.6,36.5,24,37.9,62,1.4,0.3,29.5,6.8,1.22,6249,27,1823,0.999
16th Top,4793,19.1476,18.9476,30,650,1.6,36.5,24,37.9,62,1.4,0.3,29.5,6.8,1.22,6249,27,1823,0.999
16th Top,5229,19.6222,19.4222,30,650,1.6,36.5,24,37.9,62,1.4,0.3,29.5,6.8,1.22,6249,27,1823,0.999
16th Top,5664,19.9611,19.7611,30,650,1.6,36.5,24,37.9,62,1.4,0.3,29.5,6.8,1.22,6249,27,1823,0.999
16th Top,6100,20.3000,20.1000,30,650,1.6,36.5,24,37.9,62,1.4,0.3,29.5,6.8,1.22,6249,27,1823,0.999
16th Bottom,500,4.5600,4.3400,30,450,6,35,34,25,58.4,2.3,0.3,33.7,5.3,1.11,7038,28,2410,0.998
16th Bottom,1000,8.1000,7.8000,30,450,6,35,34,25,58.4,2.3,0.3,33.7,5.3,1.11,7038,28,2410,0.998
16th Bottom,1500,10.6000,10.3000,30,450,6,35,34,25,58.4,2.3,0.3,33.7,5.3,1.11,7038,28,2410,0.998
16th Bottom,2000,12.0444,11.8000,30,450,6,35,34,25,58.4,2.3,0.3,33.7,5.3,1.11,7038,28,2410,0.998
16th Bottom,2500,13.4125,13.2125,30,450,6,35,34,25,58.4,2.3,0.3,33.7,5.3,1.11,7038,28,2410,0.998
16th Bottom,3000,14.4750,14.2750,30,450,6,35,34,25,58.4,2.3,0.3,33.7,5.3,1.11,7038,28,2410,0.998
16th Bottom,3500,15.5375,15.3375,30,450,6,35,34,25,58.4,2.3,0.3,33.7,5.3,1.11,7038,28,2410,0.998
16th Bottom,4000,16.6000,16.4000,30,450,6,35,34,25,58.4,2.3,0.3,33.7,5.3,1.11,7038,28,2410,0.998
16th Bottom,4500,17.4750,17.2750,30,450,6,35,34,25,58.4,2.3,0.3,33.7,5.3,1.11,7038,28,2410,0.998
16th Bottom,5000,18.3000,18.1000,30,450,6,35,34,25,58.4,2.3,0.3,33.7,5.3,1.11,7038,28,2410,0.998
16th Bottom,5500,19.0500,18.8500,30,450,6,35,34,25,58.4,2.3,0.3,33.7,5.3,1.11,7038,28,2410,0.998
16th Bottom,6000,19.7000,19.5000,30,450,6,35,34,25,58.4,2.3,0.3,33.7,5.3,1.11,7038,28,2410,0.998
16th Bottom,6500,20.3333,20.1333,30,450,6,35,34,25,58.4,2.3,0.3,33.7,5.3,1.11,7038,28,2410,0.998
16th Bottom,7000,21.0000,20.8000,30,450,6,35,34,25,58.4,2.3,0.3,33.7,5.3,1.11,7038,28,2410,0.998
18th,443,3.4771,3.7257,30,380,0.5,38,22,39.5,84.2,0.5,1,9.8,4.5,0.97,6286,22,1749,0.999
18th,886,7.3743,7.0914,30,380,0.5,38,22,39.5,84.2,0.5,1,9.8,4.5,0.97,6286,22,1749,0.999
18th,1329,9.8571,9.5571,30,380,0.5,38,22,39.5,84.2,0.5,1,9.8,4.5,0.97,6286,22,1749,0.999
18th,1771,11.3182,11.0182,30,380,0.5,38,22,39.5,84.2,0.5,1,9.8,4.5,0.97,6286,22,1749,0.999
18th,2214,12.1636,11.8636,30,380,0.5,38,22,39.5,84.2,0.5,1,9.8,4.5,0.97,6286,22,1749,0.999
18th,2657,13.0270,12.7333,30,380,0.5,38,22,39.5,84.2,0.5,1,9.8,4.5,0.97,6286,22,1749,0.999
18th,3100,14.0111,13.7667,30,380,0.5,38,22,39.5,84.2,0.5,1,9.8,4.5,0.97,6286,22,1749,0.999
18th,3543,14.9482,14.7482,30,380,0.5,38,22,39.5,84.2,0.5,1,9.8,4.5,0.97,6286,22,1749,0.999
18th,3986,15.4464,15.2464,30,380,0.5,38,22,39.5,84.2,0.5,1,9.8,4.5,0.97,6286,22,1749,0.999
18th,4429,15.9286,15.7286,30,380,0.5,38,22,39.5,84.2,0.5,1,9.8,4.5,0.97,6286,22,1749,0.999
18th,4871,16.3714,16.1714,30,380,0.5,38,22,39.5,84.2,0.5,1,9.8,4.5,0.97,6286,22,1749,0.999
18th,5314,16.7800,16.5800,30,380,0.5,38,22,39.5,84.2,0.5,1,9.8,4.5,0.97,6286,22,1749,0.999
18th,5757,17.0900,16.8900,30,380,0.5,38,22,39.5,84.2,0.5,1,9.8,4.5,0.97,6286,22,1749,0.999
18th,6200,17.4000,17.2000,30,380,0.5,38,22,39.5,84.2,0.5,1,9.8,4.5,0.97,6286,22,1749,0.999
J/01,0.8,3.4,3,41.7,390,0.78,18.85,30.41,49.96,40.33,1.11,52.2,1.36,5,1,8400,6.09,890,0.98
,2,4.8,4.4,41.7,390,0.78,18.85,30.41,49.96,40.33,1.11,52.2,1.36,5,1,8400,6.09,890,0.98
,3.5,5,4.7,41.7,390,0.78,18.85,30.41,49.96,40.33,1.11,52.2,1.36,5,1,8400,6.09,890,0.98
,4.5,5.1,4.9,41.7,390,0.78,18.85,30.41,49.96,40.33,1.11,52.2,1.36,5,1,8400,6.09,890,0.98
,5.5,5.2,5.05,41.7,390,0.78,18.85,30.41,49.96,40.33,1.11,52.2,1.36,5,1,8400,6.09,890,0.98
,6.5,5.35,5.2,41.7,390,0.78,18.85,30.41,49.96,40.33,1.11,52.2,1.36,5,1,8400,6.09,890,0.98
,7.5,5.5,5.3,41.7,390,0.78,18.85,30.41,49.96,40.33,1.11,52.2,1.36,5,1,8400,6.09,890,0.98
,8,5.55,5.4,41.7,390,0.78,18.85,30.41,49.96,40.33,1.11,52.2,1.36,5,1,8400,6.09,890,0.98
,8.5,5.6,5.5,41.7,390,0.78,18.85,30.41,49.96,40.33,1.11,52.2,1.36,5,1,8400,6.09,890,0.98
J/02,0.5,4.3,4.3,47.2,473,1.15,14.08,30.21,54.56,51.28,1.27,37.6,3.85,6,0.8,8400,12.19,1220,0.98
,1,5.6,5.6,47.2,473,1.15,14.08,30.21,54.56,51.28,1.27,37.6,3.85,6,0.8,8400,12.19,1220,0.98
,1.5,6.8,6.8,47.2,473,1.15,14.08,30.21,54.56,51.28,1.27,37.6,3.85,6,0.8,8400,12.19,1220,0.98
,2,7.8,7.8,47.2,473,1.15,14.08,30.21,54.56,51.28,1.27,37.6,3.85,6,0.8,8400,12.19,1220,0.98
,3,8.7,8.7,47.2,473,1.15,14.08,30.21,54.56,51.28,1.27,37.6,3.85,6,0.8,8400,12.19,1220,0.98
,4,9.2,9.2,47.2,473,1.15,14.08,30.21,54.56,51.28,1.27,37.6,3.85,6,0.8,8400,12.19,1220,0.98
,5,9.7,9.7,47.2,473,1.15,14.08,30.21,54.56,51.28,1.27,37.6,3.85,6,0.8,8400,12.19,1220,0.98
,6,9.9,9.9,47.2,473,1.15,14.08,30.21,54.56,51.28,1.27,37.6,3.85,6,0.8,8400,12.19,1220,0.98
,8,10.5,10.5,47.2,473,1.15,14.08,30.21,54.56,51.28,1.27,37.6,3.85,6,0.8,8400,12.19,1220,0.98
24,500,0.4345,0.418906411,20,840,0.7,16.1,4.4,83.9,84,0,0,16,4.6,1.8,10590,0.67,0.75,0.998
24,1000,0.553,0.563092773,20,840,0.7,16.1,4.4,83.9,84,0,0,16,4.6,1.8,10590,0.67,0.75,0.998
24,2000,0.6715,0.680144678,20,840,0.7,16.1,4.4,83.9,84,0,0,16,4.6,1.8,10590,0.67,0.75,0.998
24,4000,0.7505,0.759036341,20,840,0.7,16.1,4.4,83.9,84,0,0,16,4.6,1.8,10590,0.67,0.75,0.998
24,6000,0.79,0.789564174,20,840,0.7,16.1,4.4,83.9,84,0,0,16,4.6,1.8,10590,0.67,0.75,0.998
24,10000,0.8295,0.815813258,20,840,0.7,16.1,4.4,83.9,84,0,0,16,4.6,1.8,10590,0.67,0.75,0.998
24,500,0.316,0.321606845,45,840,0.7,16.1,4.4,83.9,84,0,0,16,4.6,1.8,10590,0.67,0.75,0.998
24,1000,0.474,0.466090114,45,840,0.7,16.1,4.4,83.9,84,0,0,16,4.6,1.8,10590,0.67,0.75,0.998
24,2000,0.5925,0.601117416,45,840,0.7,16.1,4.4,83.9,84,0,0,16,4.6,1.8,10590,0.67,0.75,0.998
24,4000,0.711,0.702938861,45,840,0.7,16.1,4.4,83.9,84,0,0,16,4.6,1.8,10590,0.67,0.75,0.998
24,6000,0.7505,0.745003484,45,840,0.7,16.1,4.4,83.9,84,0,0,16,4.6,1.8,10590,0.67,0.75,0.998
24,10000,0.7742,0.782462191,45,840,0.9,16.9,4.3,83.1,77.9,0,0,22.1,4.5,1.8,10590,0.67,0.75,0.998
26,500,0.2286,0.233300635,20,800,0.9,16.9,4.3,83.1,77.9,0,0,22.1,4.5,1.8,16470,0.69,1.01,0.998
26,1000,0.3429,0.343879375,20,800,0.9,16.9,4.3,83.1,77.9,0,0,22.1,4.5,1.8,16470,0.69,1.01,0.998
26,2000,0.4572,0.450686515,20,800,0.9,16.9,4.3,83.1,77.9,0,0,22.1,4.5,1.8,16470,0.69,1.01,0.998
26,4000,0.5334,0.533544601,20,800,0.9,16.9,4.3,83.1,77.9,0,0,22.1,4.5,1.8,16470,0.69,1.01,0.998
26,6000,0.5715,0.568376332,20,800,0.9,16.9,4.3,83.1,77.9,0,0,22.1,4.5,1.8,16470,0.69,1.01,0.998
26,10000,0.59436,0.599696633,20,800,0.9,16.9,4.3,83.1,77.9,0,0,22.1,4.5,1.8,16470,0.69,1.01,0.998
26,500,0.1905,0.201295704,45,800,0.9,16.9,4.3,83.1,77.9,0,0,22.1,4.5,1.8,16470,0.69,1.01,0.998
26,1000,0.3048,0.304298566,45,800,0.9,16.9,4.3,83.1,77.9,0,0,22.1,4.5,1.8,16470,0.69,1.01,0.998
26,2000,0.4191,0.408920802,45,800,0.9,16.9,4.3,83.1,77.9,0,0,22.1,4.5,1.8,16470,0.69,1.01,0.998
26,4000,0.4953,0.493810364,45,800,0.9,16.9,4.3,83.1,77.9,0,0,22.1,4.5,1.8,16470,0.69,1.01,0.998
26,6000,0.5334,0.530521409,45,800,0.9,16.9,4.3,83.1,77.9,0,0,22.1,4.5,1.8,16470,0.69,1.01,0.998
26,10000,0.55626,0.564068789,45,800,0.9,16.9,4.3,83.1,77.9,0,0,22.1,4.5,1.8,16470,0.69,1.01,0.998
22,500,0.29925,0.303286468,20,599,0.9,28.3,20,71.7,80,2.5,2.5,17.5,21,1.2,13120,0.38,0.44,0.998
22,1000,0.4275,0.423412556,20,599,0.9,28.3,20,71.7,80,2.5,2.5,17.5,21,1.2,13120,0.38,0.44,0.998
22,2000,0.5301,0.52797258,20,599,0.9,28.3,20,71.7,80,2.5,2.5,17.5,21,1.2,13120,0.38,0.44,0.998
22,4000,0.5985,0.602346044,20,599,0.9,28.3,20,71.7,80,2.5,2.5,17.5,21,1.2,13120,0.38,0.44,0.998
22,6000,0.6327,0.632022923,20,599,0.9,28.3,20,71.7,80,2.5,2.5,17.5,21,1.2,13120,0.38,0.44,0.998
22,10000,0.65835,0.657956307,20,599,0.9,28.3,20,71.7,80,2.5,2.5,17.5,21,1.2,13120,0.38,0.44,0.998
22,500,0.2565,0.254779022,45,599,0.9,28.3,20,71.7,80,2.5,2.5,17.5,21,1.2,13120,0.38,0.44,0.998
22,1000,0.38475,0.374242957,45,599,0.9,28.3,20,71.7,80,2.5,2.5,17.5,21,1.2,13120,0.38,0.44,0.998
22,2000,0.47025,0.488852573,45,599,0.9,28.3,20,71.7,80,2.5,2.5,17.5,21,1.2,13120,0.38,0.44,0.998
22,4000,0.5814,0.577240807,45,599,0.9,28.3,20,71.7,80,2.5,2.5,17.5,21,1.2,13120,0.38,0.44,0.998
22,6000,0.6156,0.614261867,45,599,0.9,28.3,20,71.7,80,2.5,2.5,17.5,21,1.2,13120,0.38,0.44,0.998
22,10000,0.6498,0.647482657,45,599,0.9,28.3,20,71.7,80,2.5,2.5,17.5,21,1.2,13120,0.38,0.44,0.998
Sample XIV,500,2.5,3.536,55.6,950,0.33,17.53,13.68,82.47,89.49,3.37,7.14,3.37,2,1.13,3069,23.62,3069,0.9823
Sample XIV,1000,5,5.8913,55.6,950,0.33,17.53,13.68,82.47,89.49,3.37,7.14,3.37,2,1.13,3069,23.62,3069,0.9823
Sample XIV,2000,7.8,8.9081,55.6,950,0.33,17.53,13.68,82.47,89.49,3.37,7.14,3.37,2,1.13,3069,23.62,3069,0.9823
Sample XIV,3000,10,10.625,55.6,950,0.33,17.53,13.68,82.47,89.49,3.37,7.14,3.37,2,1.13,3069,23.62,3069,0.9823
Sample XIV,4000,11.8,11.7857,55.6,950,0.33,17.53,13.68,82.47,89.49,3.37,7.14,3.37,2,1.13,3069,23.62,3069,0.9823
Sample XIV,5000,13.2,12.6429,55.6,950,0.33,17.53,13.68,82.47,89.49,3.37,7.14,3.37,2,1.13,3069,23.62,3069,0.9823
Sample XIV,6000,14,13.3182,55.6,950,0.33,17.53,13.68,82.47,89.49,3.37,7.14,3.37,2,1.13,3069,23.62,3069,0.9823
Sample XIV,7000,14.6,13.8684,55.6,950,0.33,17.53,13.68,82.47,89.49,3.37,7.14,3.37,2,1.13,3069,23.62,3069,0.9823
Sample XIV,8000,15,14.3333,55.6,950,0.33,17.53,13.68,82.47,89.49,3.37,7.14,3.37,2,1.13,3069,23.62,3069,0.9823
Sample XI,500,3.2,4.619,58,1038,0.41,18.91,37.28,81.09,84.83,4.74,9.95,5.21,2.31,1.13,3228,21.21,3228,0.9621
Sample XI,1000,5.8,7.6,58,1038,0.41,18.91,37.28,81.09,84.83,4.74,9.95,5.21,2.31,1.13,3228,21.21,3228,0.9621
Sample XI,2000,9.2,11.1765,58,1038,0.41,18.91,37.28,81.09,84.83,4.74,9.95,5.21,2.31,1.13,3228,21.21,3228,0.9621
Sample XI,3000,11.7,13.2353,58,1038,0.41,18.91,37.28,81.09,84.83,4.74,9.95,5.21,2.31,1.13,3228,21.21,3228,0.9621
Sample XI,4000,13.2,14.6154,58,1038,0.41,18.91,37.28,81.09,84.83,4.74,9.95,5.21,2.31,1.13,3228,21.21,3228,0.9621
Sample XI,5000,15.2,15.625,58,1038,0.41,18.91,37.28,81.09,84.83,4.74,9.95,5.21,2.31,1.13,3228,21.21,3228,0.9621
Sample XI,6000,16.1,16.3889,58,1038,0.41,18.91,37.28,81.09,84.83,4.74,9.95,5.21,2.31,1.13,3228,21.21,3228,0.9621
Sample XI,7000,16.6,16.9877,58,1038,0.41,18.91,37.28,81.09,84.83,4.74,9.95,5.21,2.31,1.13,3228,21.21,3228,0.9621
