Sample,Pressure (kPa),EXP_ADS (mL/g),Langmuir_ADS (mL/g),Temparature ©,Depth (m),Moisture (%),VM(%),Ash (%),FC (%),Vitrinite (%),Semi- vitrinite (%),Liptinite (%),Inertinite (%),Mineral matter (%),Mean Ro (%),Max. EXP Pressure (kPa),Lan. Vol. Con. VL (mL/g),Lan. Pres. Con. PL (kPa),Correlation coefficient (R^2)
,1000,1.62,1.7,40,180,1.1,35,16.2,47.7,45.5,0,9.8,23.7,21,0.57,12000,7.85,5289.43,0.998
,1500,2.15,2.22,40,180,1.1,35,16.2,47.7,45.5,0,9.8,23.7,21,0.57,12000,7.85,5289.43,0.998
,2000,2.38,2.45,40,180,1.1,35,16.2,47.7,45.5,0,9.8,23.7,21,0.57,12000,7.85,5289.43,0.998
,3000,3.02,3.08,40,180,1.1,35,16.2,47.7,45.5,0,9.8,23.7,21,0.57,12000,7.85,5289.43,0.998
,4000,3.45,3.5,40,180,1.1,35,16.2,47.7,45.5,0,9.8,23.7,21,0.57,12000,7.85,5289.43,0.998
,5000,3.82,3.88,40,180,1.1,35,16.2,47.7,45.5,0,9.8,23.7,21,0.57,12000,7.85,5289.43,0.998
,6000,4.15,4.2,40,180,1.1,35,16.2,47.7,45.5,0,9.8,23.7,21,0.57,12000,7.85,5289.43,0.998
,7000,4.42,4.48,40,180,1.1,35,16.2,47.7,45.5,0,9.8,23.7,21,0.57,12000,7.85,5289.43,0.998
,8000,4.7,4.76,40,180,1.1,35,16.2,47.7,45.5,0,9.8,23.7,21,0.57,12000,7.85,5289.43,0.998
,9000,4.98,5.02,40,180,1.1,35,16.2,47.7,45.5,0,9.8,23.7,21,0.57,12000,7.85,5289.43,0.998
,10000,5.2,5.25,40,180,1.1,35,16.2,47.7,45.5,0,9.8,23.7,21,0.57,12000,7.85,5289.43,0.998
,11000,5.35,5.4,40,180,1.1,35,16.2,47.7,45.5,0,9.8,23.7,21,0.57,12000,7.85,5289.43,0.998
,12000,5.45,5.5,40,180,1.1,35,16.2,47.7,45.5,0,9.8,23.7,21,0.57,12000,7.85,5289.43,0.998
R-7 A,500,3.55,3.7,40,150,1,44,17.2,37.8,85.3,0.4,0.8,6.7,6.8,0.54,12000,7.58,5029.43,0.998
,1000,6.3,6.45,40,150,1,44,17.2,37.8,85.3,0.4,0.8,6.7,6.8,0.54,12000,7.58,5029.43,0.998
,1500,8.25,8.4,40,150,1,44,17.2,37.8,85.3,0.4,0.8,6.7,6.8,0.54,12000,7.58,5029.43,0.998
,2000,9.5,9.65,40,150,1,44,17.2,37.8,85.3,0.4,0.8,6.7,6.8,0.54,12000,7.58,5029.43,0.998
,3000,10.45,10.6,40,150,1,44,17.2,37.8,85.3,0.4,0.8,6.7,6.8,0.54,12000,7.58,5029.43,0.998
,4000,10.95,11.05,40,150,1,44,17.2,37.8,85.3,0.4,0.8,6.7,6.8,0.54,12000,7.58,5029.43,0.998
,5000,11.3,11.4,40,150,1,44,17.2,37.8,85.3,0.4,0.8,6.7,6.8,0.54,12000,7.58,5029.43,0.998
,6000,11.65,11.75,40,150,1,44,17.2,37.8,85.3,0.4,0.8,6.7,6.8,0.54,12000,7.58,5029.43,0.998
,7000,11.85,11.95,40,150,1,44,17.2,37.8,85.3,0.4,0.8,6.7,6.8,0.54,12000,7.58,5029.43,0.998
,8000,12,12.05,40,150,1,44,17.2,37.8,85.3,0.4,0.8,6.7,6.8,0.54,12000,7.58,5029.43,0.998
,9000,12.1,12.15,40,150,1,44,17.2,37.8,85.3,0.4,0.8,6.7,6.8,0.54,12000,7.58,5029.43,0.998
,10000,12.2,12.25,40,150,1,44,17.2,37.8,85.3,0.4,0.8,6.7,6.8,0.54,12000,7.58,5029.43,0.998
,11000,12.25,12.3,40,150,1,44,17.2,37.8,85.3,0.4,0.8,6.7,6.8,0.54,12000,7.58,5029.43,0.998
,12000,12.3,12.35,40,150,1,44,17.2,37.8,85.3,0.4,0.8,6.7,6.8,0.54,12000,7.58,5029.43,0.998
CG-81,330,3.2,2.58,30,117,2.98,28.31,12.78,55.93,69.02,0,0.66,30.32,10.56,1.15,5920,24.94,2860,0.99
,850,5.7,5.714,30,117,2.98,28.31,12.78,55.93,69.02,0,0.66,30.32,10.56,1.15,5920,24.94,2860,0.99
,1370,7.7,8.0775,30,117,2.98,28.31,12.78,55.93,69.02,0,0.66,30.32,10.56,1.15,5920,24.94,2860,0.99
,1860,9.5,9.8281,30,117,2.98,28.31,12.78,55.93,69.02,0,0.66,30.32,10.56,1.15,5920,24.94,2860,0.99
,2370,10.9,11.3017,30,117,2.98,28.31,12.78,55.93,69.02,0,0.66,30.32,10.56,1.15,5920,24.94,2860,0.99
,2890,12.1,12.5351,30,117,2.98,28.31,12.78,55.93,69.02,0,0.66,30.32,10.56,1.15,5920,24.94,2860,0.99
,3370,13.1,13.4908,30,117,2.98,28.31,12.78,55.93,69.02,0,0.66,30.32,10.56,1.15,5920,24.94,2860,0.99
,3900,14.3,14.3885,30,117,2.98,28.31,12.78,55.93,69.02,0,0.66,30.32,10.56,1.15,5920,24.94,2860,0.99
,4420,15.3,15.1421,30,117,2.98,28.31,12.78,55.93,69.02,0,0.66,30.32,10.56,1.15,5920,24.94,2860,0.99
,4910,16.1,15.76,30,117,2.98,28.31,12.78,55.93,69.02,0,0.66,30.32,10.56,1.15,5920,24.94,2860,0.99
,5410,16.6,16.315,30,117,2.98,28.31,12.78,55.93,69.02,0,0.66,30.32,10.56,1.15,5920,24.94,2860,0.99
,5920,17,16.816,30,117,2.98,28.31,12.78,55.93,69.02,0,0.66,30.32,10.56,1.15,5920,24.94,2860,0.99
CG-85,350,2.9,2.2946,30,65,2.01,27.72,19.67,50.6,65.75,0,3.09,31.16,11.75,1.18,5910,26.88,3750,0.99
,870,5,5.0618,30,65,2.01,27.72,19.67,50.6,65.75,0,3.09,31.16,11.75,1.18,5910,26.88,3750,0.99
,1380,6.8,7.2309,30,65,2.01,27.72,19.67,50.6,65.75,0,3.09,31.16,11.75,1.18,5910,26.88,3750,0.99
,1880,8.3,8.9759,30,65,2.01,27.72,19.67,50.6,65.75,0,3.09,31.16,11.75,1.18,5910,26.88,3750,0.99
,1870,10,8.9441,30,65,2.01,27.72,19.67,50.6,65.75,0,3.09,31.16,11.75,1.18,5910,26.88,3750,0.99
,2900,11.4,11.7221,30,65,2.01,27.72,19.67,50.6,65.75,0,3.09,31.16,11.75,1.18,5910,26.88,3750,0.99
,3380,12.7,12.7426,30,65,2.01,27.72,19.67,50.6,65.75,0,3.09,31.16,11.75,1.18,5910,26.88,3750,0.99
,3910,13.8,13.7207,30,65,2.01,27.72,19.67,50.6,65.75,0,3.09,31.16,11.75,1.18,5910,26.88,3750,0.99
,4430,14.8,14.5573,30,65,2.01,27.72,19.67,50.6,65.75,0,3.09,31.16,11.75,1.18,5910,26.88,3750,0.99
,4930,15.5,15.2671,30,65,2.01,27.72,19.67,50.6,65.75,0,3.09,31.16,11.75,1.18,5910,26.88,3750,0.99
,5420,16.1,15.8876,30,65,2.01,27.72,19.67,50.6,65.75,0,3.09,31.16,11.75,1.18,5910,26.88,3750,0.99
,5910,16.5,16.4452,30,65,2.01,27.72,19.67,50.6,65.75,0,3.09,31.16,11.75,1.18,5910,26.88,3750,0.99
CG-97,370,3.4,2.9742,30,95,2.61,33.86,10.92,52.61,83.15,0,1.94,14.93,17.7,0.94,5930,22.99,2490,0.99
,890,6,6.0536,30,95,2.61,33.86,10.92,52.61,83.15,0,1.94,14.93,17.7,0.94,5930,22.99,2490,0.99
,1360,7.6,8.1211,30,95,2.61,33.86,10.92,52.61,83.15,0,1.94,14.93,17.7,0.94,5930,22.99,2490,0.99
,1870,9.6,9.8604,30,95,2.61,33.86,10.92,52.61,83.15,0,1.94,14.93,17.7,0.94,5930,22.99,2490,0.99
,2360,11,11.1869,30,95,2.61,33.86,10.92,52.61,83.15,0,1.94,14.93,17.7,0.94,5930,22.99,2490,0.99
,2910,12.4,12.3891,30,95,2.61,33.86,10.92,52.61,83.15,0,1.94,14.93,17.7,0.94,5930,22.99,2490,0.99
,3380,13.2,13.2379,30,95,2.61,33.86,10.92,52.61,83.15,0,1.94,14.93,17.7,0.94,5930,22.99,2490,0.99
,3910,14.1,14.0455,30,95,2.61,33.86,10.92,52.61,83.15,0,1.94,14.93,17.7,0.94,5930,22.99,2490,0.99
,4420,14.8,14.7056,30,95,2.61,33.86,10.92,52.61,83.15,0,1.94,14.93,17.7,0.94,5930,22.99,2490,0.99
,4920,15.4,15.2646,30,95,2.61,33.86,10.92,52.61,83.15,0,1.94,14.93,17.7,0.94,5930,22.99,2490,0.99
